Label 1,Label 2,Label 3,   Max Age (Ma)   ,   Min Age (Ma)   ,   MinDat ID   ,   Locality containing Mineral   ,   Dated Locality ID   ,   Dated Locality (Max Age)   ,   Reference (Max Age)   ,   Reference (Min Age)   ,   Query Minerals at Locality   ,   # of Query Minerals at Locality   ,   # of sublocalities with Query Minerals   ,   # of dated sublocalities   ,   Lat Deg   ,   Lat Min   ,   Lat Sec   ,   Lon Deg   ,   Lon Min   ,   Lon Sec   ,   Decimal Degree   
   ,,,,,27567,Jamaica,,,,,Abhurite,1,,,0,0,0,0,0,0,
   ,,,,,0,"Kingston Parish, Jamaica",,,,,Abhurite,1,,,0,0,0,0,0,0,
MD ,,,,,46532,"Port Royal, Kingston Parish, Jamaica",,,,,Abhurite,1,,,0,0,0,0,0,0,"0,0"
   ,,O,1742,153,12362,Norway,11288,"Hundholmen, Tysfjord, Nordland, Norway",Andresen and Tull (1986),Pfaff et al. (2009),Abhurite,1,,,63,12,33,10,0,41,"63.209166666667,10.011388888889"
   ,,O,962,944,23861,"Vest-Agder, Norway",52668,"Kvinesdal, Vest-Agder, Norway",Bingen et al. (2006),Bingen et al. (2006),Abhurite,1,,,58,17,55,7,21,16,"58.298611111111,7.3544444444444"
   ,,,,,23983,"Flekkefjord, Vest-Agder, Norway",,,,,Abhurite,1,,,58,13,7,6,35,21,
   ,,,,,3100,"Hidra (Hitterø), Flekkefjord, Vest-Agder, Norway",,,,,Abhurite,1,,,58,13,7,6,35,22,
MD ,,,,,68100,"Wreck Site, Hidra (Hitterø), Flekkefjord, Vest-Agder, Norway",,,,,Abhurite,1,,,0,0,0,0,0,0,"0,0"
   ,,O,800,785,22386,Saudi Arabia,244355,"Jabal Ash Shizm, Mintaqah Al Madinah, Saudi Arabia",Moiser et al. (2009),Moiser et al. (2009),Abhurite,1,,,23,53,4,42,43,23,"23.884444444444,42.723055555556"
   ,,,,,145806,"Mintaqah Makkah, Saudi Arabia",,,,,Abhurite,1,,,22,4,40,41,28,19,
   ,,,,,0,"Jiddah (Jeddah), Mintaqah Makkah, Saudi Arabia",,,,,Abhurite,1,,,0,0,0,0,0,0,
MD ,,,,,2830,"Sharm Abhur Cove, Jiddah (Jeddah), Mintaqah Makkah, Saudi Arabia",,,,,Abhurite,1,,,0,0,0,0,0,0,"0,0"
   ,,O,436,2.6,14281,UK,4245,"Parys Mountain Mines (Paris Mine; Parys Mine; Mona Mine; Morfa Du Mine), Amlwch, Isle Of Anglesey, Wales, UK",Moiser et al. (2009),Hall et al. (1982),Abhurite,1,,,53,59,53,-3,-54,-5,"53.998055555556,-3.9013888888889"
   ,,O,402,176,14093,"England, UK",4747,"Coniston Copper Mines, Coniston District, Cumbria, England, UK",Ineson and Mitchell (1974),Milodowski A E et al. (2002),Abhurite,1,,,52,21,4,-1,-30,-42,"52.351111111111,-1.5116666666667"
   ,,O,288,276,840,"Cornwall, England, UK",1109,"Wherry Mine, Penzance, Mount's Bay District, Cornwall, England, UK",Darbyshire and Shepherd (1985),Darbyshire and Shepherd (1985),Abhurite,1,,,50,16,17,-5,-5,-31,"50.271388888889,-5.0919444444444"
   ,,,,,14168,"St Ives District, Cornwall, England, UK",,,,,Abhurite,1,,,50,11,41,-5,-38,-53,
MD ,,,,,841,"SS Cheerful Wreck Site, St Ives District, Cornwall, England, UK",,,,,Abhurite,1,,,50,13,11,-6,-10,-12,"50.219722222222,-6.17"
   ,,O,436,436,14092,"Wales, UK",4245,"Parys Mountain Mines (Paris Mine; Parys Mine; Mona Mine; Morfa Du Mine), Amlwch, Isle Of Anglesey, Wales, UK",Moiser et al. (2009),Moiser et al. (2009),Abhurite,1,,,52,11,49,-3,-37,-39,"52.196944444444,-3.6275"
   ,,O,436,436,22716,"Isle Of Anglesey, Wales, UK",4245,"Parys Mountain Mines (Paris Mine; Parys Mine; Mona Mine; Morfa Du Mine), Amlwch, Isle Of Anglesey, Wales, UK",Moiser et al. (2009),Moiser et al. (2009),Abhurite,1,,,53,19,57,-4,-26,-21,"53.3325,-4.4391666666667"
MD ,,,,,31000,"SS Liverpool Wreck Site, Isle Of Anglesey, Wales, UK",,,,,Abhurite,1,,,53,25,53,-4,-25,-25,"53.431388888889,-4.4236111111111"
   ,,O,3411,0,3366,USA,225412,"Watersmeet, Gogebic Co., Michigan, USA",Peterman et al. (1980),Studemeister (1984),Abhurite,1,,,39,32,36,-93,-41,-12,"39.543333333333,-93.686666666667"
   ,,,,,16149,"Florida, USA",,,,,Abhurite,1,,,29,1,9,-82,-46,-6,
   ,,,,,30999,"Monroe Co., Florida, USA",,,,,Abhurite,1,,,24,49,57,-80,-59,-58,
MD ,,,,,30998,"San Jose Wreck Site, Monroe Co., Florida, USA",,,,,Abhurite,1,,,0,0,0,0,0,0,"0,0"
   ,,O,460,345,4033,"North Carolina, USA",100109,"Democrat Olivine Deposit (Democrat Chromite Prospect; T Mine; Democrat Chromite Placer Deposit; ITS; Ivy River-Democrat Chromite Deposit), Canton-Democrat, Buncombe Co., North Carolina, USA",Moiser et al. (2012),Swanson (2012),Abhurite,1,,,35,38,10,-79,-54,-24,"35.636111111111,-79.906666666667"
   ,,,,,216467,"Carteret Co., North Carolina, USA",,,,,Abhurite,1,,,34,44,0,-76,-45,-59,
   ,,,,,0,"Beaufort, Carteret Co., North Carolina, USA",,,,,Abhurite,1,,,0,0,0,0,0,0,
MD ,,,,,30997,"Queen Anne's Revenge Wreck Site, Beaufort, Carteret Co., North Carolina, USA",,,,,Abhurite,1,,,0,0,0,0,0,0,"0,0"
