Label 1,Label 2,Label 3,   Max Age (Ma)   ,   Min Age (Ma)   ,   MinDat ID   ,   Locality containing Mineral   ,   Dated Locality ID   ,   Dated Locality (Max Age)   ,   Reference (Max Age)   ,   Reference (Min Age)   ,   Query Minerals at Locality   ,   # of Query Minerals at Locality   ,   # of sublocalities with Query Minerals   ,   # of dated sublocalities   ,   Lat Deg   ,   Lat Min   ,   Lat Sec   ,   Lon Deg   ,   Lon Min   ,   Lon Sec   ,   Decimal Degree   
   ,,Y,530,375,14409,Russia,250799,"Ozernoe Ore Cluster, Buriatia Republic (Buryatia), Transbaikalia (Zabaykalye), Eastern-Siberian Region, Russia",Moiser et al. (2009),Moiser et al. (2009),Abramovite,1,,,53,56,38,56,9,12,"53.943888888889,56.153333333333"
   ,,O,161,0,18249,"Far-Eastern Region, Russia",20441,"Kolyma River Basin, Magadanskaya Oblast', Far-Eastern Region, Russia",Volkov et al. (2008),Fedotov et al. (1980),Abramovite,1,,,54,33,8,146,51,34,"54.552222222222,146.85944444444"
   ,,O,2.04,0,26311,"Sakhalinskaya Oblast', Far-Eastern Region, Russia",125882,"Prasolovskoe Au Deposit, Kunashir Island, Kuril Islands (Kurile Islands), Sakhalinskaya Oblast', Far-Eastern Region, Russia",Kovalenker and Plotinskaya (2005),Taran et al. (1995),Abramovite,1,,,46,54,29,146,3,1,"46.908055555556,146.05027777778"
   ,,O,2.04,0,26309,"Kuril Islands (Kurile Islands), Sakhalinskaya Oblast', Far-Eastern Region, Russia",125882,"Prasolovskoe Au Deposit, Kunashir Island, Kuril Islands (Kurile Islands), Sakhalinskaya Oblast', Far-Eastern Region, Russia",Kovalenker and Plotinskaya (2005),Taran et al. (1995),Abramovite,1,,,45,52,59,149,18,24,"45.883055555556,149.30666666667"
   ,,O,0.04,0,192631,"Iturup Island, Kuril Islands (Kurile Islands), Sakhalinskaya Oblast', Far-Eastern Region, Russia",10264,"Kudriavy Volcano (Kudryavyi), Iturup Island, Kuril Islands (Kurile Islands), Sakhalinskaya Oblast', Far-Eastern Region, Russia",Taran et al. (1995),Taran et al. (1995),Abramovite,1,,,45,22,53,148,49,2,"45.381388888889,148.81722222222"
MD ,,O,0.04,0,10264,"Kudriavy Volcano (Kudryavyi), Iturup Island, Kuril Islands (Kurile Islands), Sakhalinskaya Oblast', Far-Eastern Region, Russia",10264,"Kudriavy Volcano (Kudryavyi), Iturup Island, Kuril Islands (Kurile Islands), Sakhalinskaya Oblast', Far-Eastern Region, Russia",Taran et al. (1995),Taran et al. (1995),Abramovite,1,,,45,22,53,148,49,2,"45.381388888889,148.81722222222"
