mineral.name,mineral.rruffchemistry,description,mindat,locality.country,locality.region,locality.mine,locality.coordinates.lat,locality.coordinates.lon,locality.mindat
Abelsonite,Ni^2+^C_31_H_32_N_4_,,http://www.mindat.org/min-1.html,USA,"Utah, USA","Green River Formation, Utah, USA",,,http://www.mindat.org/loc-20265.html
Abenakiite-(Ce),Na_26_Ce^3+^_6_(SiO_3_)_6_(PO_4_)_6_(CO_3_)_6_(S^4+^O_2_)O,,http://www.mindat.org/min-2.html,Canada," Québec, Canada","Poudrette quarry (Demix quarry; Uni-Mix quarry; Desourdy quarry; Carrière Mont Saint-Hilaire), Mont Saint-Hilaire, La Vallée-du-Richelieu RCM, Montérégie, Québec, Canada",45.56277778,-73.14166667,http://www.mindat.org/loc-599.html
Abernathyite,K(U^6+^O_2_)As^5+^O_4_åá3H_2_O,,http://www.mindat.org/min-3.html,USA,"Utah, USA","Fuemrol No. 2 mine (Fuemrole mine), Temple Mountain, San Rafael District (San Rafael Swell), Emery Co., Utah, USA",38.68303,-110.666677,http://www.mindat.org/loc-4145.html
Abhurite,Sn^2+^_21_O_6_(OH)_14_Cl_16_,,http://www.mindat.org/min-4.html,Saudi Arabia,"Mintaqah Makkah, Saudi Arabia","Sharm Abhur Cove, Jiddah (Jeddah), Mintaqah Makkah, Saudi Arabia",21.5,41,http://www.mindat.org/loc-2830.html
Abramovite,Pb_2_SnInBiS_7_,,http://www.mindat.org/min-29261.html,Russia,"Far-Eastern Region, Russia","Kudriavy volcano (Kudryavyi), Iturup Island, Kuril Islands (Kurile Islands), Sakhalinskaya Oblast', Far-Eastern Region, Russia",45.38138889,148.8172222,http://www.mindat.org/loc-10264.html
Abswurmbachite,Cu^2+^Mn^3+^_6_O_8_(SiO_4_),,http://www.mindat.org/min-9.html,Greece," Aegean Islands Department (Aiya’on), Greece","Apikia (Apoikia), Vasilikon Mt, Andros Island, Cyclade Islands (Cyclades; Kikladhes; Nomos Kikladhon), Kykl‡des Prefecture, Aegean Islands Department (Aiya’on), Greece",37.849716,24.910026,http://www.mindat.org/loc-5493.html
Abswurmbachite,Cu^2+^Mn^3+^_6_O_8_(SiO_4_),,http://www.mindat.org/min-9.html,Greece,"Sterea Hellas Department, Greece","Myli (Mili), Évvia Island (Euboea; Évvoia), Évvoia Prefecture, Sterea Hellas Department, Greece",38.032211,24.435617,http://www.mindat.org/loc-1930.html
Abuite,CaAl_2_(PO_4_)_2_F_2_,,http://www.mindat.org/min-46490.html,Japan,"Honshu Island, Japan","Hinomaru-Nako mine, Abu town, Yamaguchi Prefecture, Chugoku Region, Honshu Island, Japan",34.833333,131.783333,http://www.mindat.org/loc-53678.html
Acanthite,Ag_2_S,,http://www.mindat.org/min-10.html,Czech Republic,"Bohemia (B_hmen; Boehmen), Czech Republic","Elias Mine, J‡chymov (St Joachimsthal), J‡chymov District (St Joachimsthal), Kru_n_ Hory Mts (Erzgebirge), Karlovy Vary Region, Bohemia (B_hmen; Boehmen), Czech Republic",50.37310833,12.885025,http://www.mindat.org/loc-4457.html
Acetamide,CH_3_CONH_2_,,http://www.mindat.org/min-13.html,Ukraine,"Lviv Oblast, Ukraine","Coal Mine, Chervonograd, Lviv-Volynskii Coal Basinm, Lviv Oblast, Ukraine",,,http://www.mindat.org/loc-2723.html
Achalaite,"(Fe^2+^,Mn^2+^)(Ti^4+^,Fe^3+^,Ta^5+^)(Nb^5+^,Ta^5+^)_2_O_8_",,http://www.mindat.org/min-46039.html,Argentina,"C—rdoba, Argentina","Cerro Los Mogotes, Ca–ada del Puerto, San Ger—nimo, Pocho department, C—rdoba, Argentina",-31.42277778,-64.91805556,http://www.mindat.org/loc-259718.html
