   Max Age (Ma)   ,   Min Age (Ma)   ,   MinDat ID   ,   Locality containing Mineral   ,   Dated Locality ID   ,   Dated Locality (Max Age)   ,   Reference (Max Age)   ,   Reference (Min Age)   ,   Query Minerals at Locality   ,   # of Query Minerals at Locality   ,   # of sublocalities with Query Minerals   ,   # of dated sublocalities   ,   Lat Deg   ,   Lat Min   ,   Lat Sec   ,   Lon Deg   ,   Lon Min   ,   Lon Sec   ,   Decimal Degree   
3200,120,8188,Canada,243388,"Hyers Island Deposit, Gods Lake District, Manitoba, Canada",Moiser et al. (2009),Moiser et al. (2009),Abenakiite-(Ce),1,,,53,22,58,-90,-3,-17,"53.382777777778,-90.054722222222"
2800,470,14009,"Québec, Canada",244915,"Inmont, Rouyn-Noranda TE, Abitibi-Témiscamingue, Québec, Canada",Moiser et al. (2009),Moiser et al. (2009),Abenakiite-(Ce),1,,,47,19,28,-72,-6,-15,"47.324444444444,-72.104166666667"
470,470,235914,"Montérégie, Québec, Canada",194561,"Upton Deposit, Acton RCM, Montérégie, Québec, Canada",Moiser et al. (2009),Moiser et al. (2009),Abenakiite-(Ce),1,,,45,23,14,-73,-21,-5,"45.387222222222,-73.351388888889"
124,124,250494,"La Vallée-du-Richelieu RCM, Montérégie, Québec, Canada",123123,"Mont Saint-Hilaire, La Vallée-du-Richelieu RCM, Montérégie, Québec, Canada",Gilbert and Foland (1986),Gilbert and Foland (1986),Abenakiite-(Ce),1,,,45,33,44,-73,-8,-30,"45.562222222222,-73.141666666667"
124,124,123123,"Mont Saint-Hilaire, La Vallée-du-Richelieu RCM, Montérégie, Québec, Canada",123123,"Mont Saint-Hilaire, La Vallée-du-Richelieu RCM, Montérégie, Québec, Canada",Gilbert and Foland (1986),Gilbert and Foland (1986),Abenakiite-(Ce),1,,,45,33,45,-73,-8,-30,"45.5625,-73.141666666667"
124,124,599,"Poudrette Quarry (Demix Quarry; Uni-Mix Quarry; Desourdy Quarry; Carrière Mont Saint-Hilaire), Mont Saint-Hilaire, La Vallée-du-Richelieu RCM, Montérégie, Québec, Canada",123123,"Mont Saint-Hilaire, La Vallée-du-Richelieu RCM, Montérégie, Québec, Canada",Gilbert and Foland (1986),Gilbert and Foland (1986),Abenakiite-(Ce),1,,,45,33,46,-73,-8,-30,"45.562777777778,-73.141666666667"
