   Max Age (Ma)   ,   Min Age (Ma)   ,   MinDat ID   ,   Locality containing Mineral   ,   Dated Locality ID   ,   Dated Locality (Max Age)   ,   Reference (Max Age)   ,   Reference (Min Age)   ,   Query Minerals at Locality   ,   # of Query Minerals at Locality   ,   # of sublocalities with Query Minerals   ,   # of dated sublocalities   ,   Lat Deg   ,   Lat Min   ,   Lat Sec   ,   Lon Deg   ,   Lon Min   ,   Lon Sec   ,   Decimal Degree   
220,132,32308,"Cobalt Mine (Segen Gottes Mine; Gottes Segen Mine), Sulzburg, Black Forest, Baden-Württemberg, Germany",32311,"Holderpfad Area, Sulzburg, Black Forest, Baden-Württemberg, Germany",Pfaff et al. (2009),Pfaff et al. (2009),Abernathyite,1,,,47,50,9,7,43,26,"47.835833333333,7.7238888888889"
161,98,1766,"Bavaria, Germany",146071,"Sailauf, Hösbach, Spessart, Franconia, Bavaria, Germany",Wagner and Lorenz (2002),Wagner and Lorenz (2002),Abernathyite,1,,,48,51,56,11,38,10,"48.865555555556,11.636111111111"
161,98,24661,"Franconia, Bavaria, Germany",146071,"Sailauf, Hösbach, Spessart, Franconia, Bavaria, Germany",Wagner and Lorenz (2002),Wagner and Lorenz (2002),Abernathyite,1,,,49,54,26,10,51,5,"49.907222222222,10.851388888889"
252,66,21832,"Spessart, Franconia, Bavaria, Germany",23246,"Richelsdorf District, Hesse, Germany",Friedrich and Herzig (1985),Friedrich and Herzig (1985),Abernathyite,1,,,50,2,57,9,11,25,"50.049166666667,9.1902777777778"
252,66,31857,"Aschaffenburg, Spessart, Franconia, Bavaria, Germany",23246,"Richelsdorf District, Hesse, Germany",Friedrich and Herzig (1985),Friedrich and Herzig (1985),Abernathyite,1,,,50,0,37,9,9,4,"50.010277777778,9.1511111111111"
252,66,0,"Dörrmorsbach, Aschaffenburg, Spessart, Franconia, Bavaria, Germany",23246,"Richelsdorf District, Hesse, Germany",Friedrich and Herzig (1985),Friedrich and Herzig (1985),Abernathyite,1,,,0,0,0,0,0,0,"0,0"
252,66,31764,"Stahl Quarry, Dörrmorsbach, Aschaffenburg, Spessart, Franconia, Bavaria, Germany",23246,"Richelsdorf District, Hesse, Germany",Friedrich and Herzig (1985),Friedrich and Herzig (1985),Abernathyite,1,,,0,0,0,0,0,0,"0,0"
161,98,107322,"Hösbach, Spessart, Franconia, Bavaria, Germany",146071,"Sailauf, Hösbach, Spessart, Franconia, Bavaria, Germany",Wagner and Lorenz (2002),Wagner and Lorenz (2002),Abernathyite,1,,,50,1,59,9,16,23,"50.033055555556,9.2730555555556"
161,98,146071,"Sailauf, Hösbach, Spessart, Franconia, Bavaria, Germany",146071,"Sailauf, Hösbach, Spessart, Franconia, Bavaria, Germany",Wagner and Lorenz (2002),Wagner and Lorenz (2002),Abernathyite,1,,,50,1,59,9,16,23,"50.033055555556,9.2730555555556"
252,66,0,"Hartkoppe, Sailauf, Hösbach, Spessart, Franconia, Bavaria, Germany",23246,"Richelsdorf District, Hesse, Germany",Friedrich and Herzig (1985),Friedrich and Herzig (1985),Abernathyite,1,,,50,2,0,9,16,23,"50.033333333333,9.2730555555556"
252,66,4634,"Fuchs Quarry, Hartkoppe, Sailauf, Hösbach, Spessart, Franconia, Bavaria, Germany",23246,"Richelsdorf District, Hesse, Germany",Friedrich and Herzig (1985),Friedrich and Herzig (1985),Abernathyite,1,,,50,2,1,9,16,23,"50.033611111111,9.2730555555556"
200,100,7003,"Saxony, Germany",1887,"Johanngeorgenstadt, Johanngeorgenstadt District, Erzgebirge, Saxony, Germany",Seifert (2008),Seifert (2008),Abernathyite,1,,,50,55,52,13,4,11,"50.931111111111,13.069722222222"
200,100,1905,"Erzgebirge, Saxony, Germany",1887,"Johanngeorgenstadt, Johanngeorgenstadt District, Erzgebirge, Saxony, Germany",Seifert (2008),Seifert (2008),Abernathyite,1,,,50,38,29,13,2,48,"50.641388888889,13.046666666667"
200,100,1888,"Marienberg District, Erzgebirge, Saxony, Germany",1887,"Johanngeorgenstadt, Johanngeorgenstadt District, Erzgebirge, Saxony, Germany",Seifert (2008),Seifert (2008),Abernathyite,1,,,50,39,45,13,8,56,"50.6625,13.148888888889"
200,100,29179,"Lauta, Marienberg District, Erzgebirge, Saxony, Germany",1887,"Johanngeorgenstadt, Johanngeorgenstadt District, Erzgebirge, Saxony, Germany",Seifert (2008),Seifert (2008),Abernathyite,1,,,50,39,46,13,8,56,"50.662777777778,13.148888888889"
200,100,13871,"Vater Abraham Mine (""Shaft 139""; Shaft 152), Lauta, Marienberg District, Erzgebirge, Saxony, Germany",1887,"Johanngeorgenstadt, Johanngeorgenstadt District, Erzgebirge, Saxony, Germany",Seifert (2008),Seifert (2008),Abernathyite,1,,,50,39,48,13,9,12,"50.663333333333,13.153333333333"
343,230,14247,Poland,206142,"Pilica Cu-Au Deposit, Zawiercie District, Upper Silesia (_l_skie), Poland",Singer et al. (2008),Kucha and Przyby_owicz (1999); Piestrzy_ski and Wodzicki (2000),Abernathyite,1,,,51,41,40,20,14,54,"51.694444444444,20.248333333333"
327,230,16278,"Lower Silesia (Dolno_l_skie), Poland",132693,"_omnica, Jelenia Góra District, Karkonosze Mts (Karkonosze Massif), Lower Silesia (Dolno_l_skie), Poland",Mikulski and Stein (2007),Kucha and Przyby_owicz (1999); Piestrzy_ski and Wodzicki (2000),Abernathyite,1,,,50,52,5,16,19,26,"50.868055555556,16.323888888889"
,,158191,"Izerskie Mts, Lower Silesia (Dolno_l_skie), Poland",,,,,Abernathyite,1,,,0,0,0,0,0,0,
,,0,"Jelenia Góra District, Izerskie Mts, Lower Silesia (Dolno_l_skie), Poland",,,,,Abernathyite,1,,,0,0,0,0,0,0,
,,155935,"Kopaniec, Jelenia Góra District, Izerskie Mts, Lower Silesia (Dolno_l_skie), Poland",,,,,Abernathyite,1,,,0,0,0,0,0,0,"0,0"
3640,950,14468,South Africa,3086,"Barberton, Ehlanzeni District, Mpumalanga Province, South Africa",de Wit et al. (1987),Raith and Stein (2000),Abernathyite,1,,,-28,-11,-27,26,44,35,"-28.190833333333,26.743055555556"
,,43088,"Western Cape Province, South Africa",,,,,Abernathyite,1,,,-33,-30,-21,19,57,51,
,,236269,"Central Karoo District, Western Cape Province, South Africa",,,,,Abernathyite,1,,,-32,-21,0,22,35,0,
,,56312,"Beaufort West, Central Karoo District, Western Cape Province, South Africa",,,,,Abernathyite,1,,,-32,-21,0,22,35,0,
270,130,3366,USA,18657,"Slavkovice, Nové M_sto Na Morav_, Vyso_ina Region, Moravia (Mähren; Maehren), Czech Republic",Surán and Veselý (2001),Surán and Veselý (2001),Abernathyite,1,,,39,32,43,-93,-41,-10,"39.545277777778,-93.686111111111"
270,130,3293,"Arizona, USA",18657,"Slavkovice, Nové M_sto Na Morav_, Vyso_ina Region, Moravia (Mähren; Maehren), Czech Republic",Surán and Veselý (2001),Surán and Veselý (2001),Abernathyite,1,,,33,34,50,-111,-19,-34,"33.580555555556,-111.32611111111"
470.9,55.7,15100,"Coconino Co., Arizona, USA",19917,"Orphan Mine (Orphan Lode; Orphan N.P. 2004; Golden Crown Mining Co. Property; Western Gold And Uranium Property), Grand Canyon Village, Orphan District, South Rim, Grand Canyon National Park, Coconino Co., Arizona, USA",Ludwig and Simmons (1992),Ludwig and Simmons (1992),Abernathyite,1,,,35,44,0,-111,-45,-2,"35.733333333333,-111.75055555556"
,,20091,"Tuba City, Coconino Co., Arizona, USA",,,,,Abernathyite,1,,,36,8,0,-111,-14,0,
1020,0,3585,"Colorado, USA",114064,"Seventy-Six Shaft, Willow Creek District, Gunnison Co., Colorado, USA",Gastil (1960),Kelly and Goddard (1969),Abernathyite,1,,,38,55,0,-105,-37,-52,"38.916666666667,-105.63111111111"
27.8,23,23615,"Saguache Co., Colorado, USA",50124,"Bonanza District (Kerber Creek District), Saguache Co., Colorado, USA",Pride and Hasenohr (1983); Rose (2010),Pride and Hasenohr (1983); Rose (2010),Abernathyite,1,,,38,13,25,-106,-21,-32,"38.223611111111,-106.35888888889"
,,20090,"West Mine, Saguache Co., Colorado, USA",,,,,Abernathyite,1,,,0,0,0,0,0,0,"0,0"
30,10,23076,"San Juan Co., Colorado, USA",5984,"Lake Como, San Juan Co., Colorado, USA",Lipman et al. (1976),Lipman et al. (1976),Abernathyite,1,,,37,49,21,-107,-44,-40,"37.8225,-107.74444444444"
,,0,"Elk Park, San Juan Co., Colorado, USA",,,,,Abernathyite,1,,,0,0,0,0,0,0,
,,5992,"Clyde Long Property (Surprise Claims; Elk Park Mine; Exxon Lease; Centennial Claims), Elk Park, San Juan Co., Colorado, USA",,,,,Abernathyite,1,,,0,0,0,0,0,0,"0,0"
1500,45,3724,"Idaho, USA",137096,"Eagle Creek Prospect (Niagara), Coeur D'Alene District, Shoshone Co., Idaho, USA",Cox et al. (2003),Leonard et al. (1978); Leonard and Marvin (1982); Criss et al. (1984),Abernathyite,1,,,44,16,31,-114,-28,-47,"44.275277777778,-114.47972222222"
,,14207,"Custer Co., Idaho, USA",,,,,Abernathyite,1,,,44,11,50,-114,-27,-34,
,,68967,"Stanley Basin District, Custer Co., Idaho, USA",,,,,Abernathyite,1,,,44,15,54,-114,-54,-16,
,,136915,"Deer Strike And Elk Mine, Stanley Basin District, Custer Co., Idaho, USA",,,,,Abernathyite,1,,,44,16,50,-114,-49,-10,"44.280555555556,-114.81944444444"
300,145,4060,"Oregon, USA",68383,"Queen Of Bronze Mine (North And South Queen Of Bronze), Takilma District, Josephine Co., Oregon, USA",Moiser et al. (2009),Lanphere et al. (1968),Abernathyite,1,,,44,32,0,-121,-32,-23,"44.533333333333,-121.53972222222"
,,24085,"Lake Co., Oregon, USA",,,,,Abernathyite,1,,,42,37,55,-120,-29,-4,
,,24532,"Lakeview, Lake Co., Oregon, USA",,,,,Abernathyite,1,,,42,19,35,-120,-32,-48,
,,6479,"White King Mine, Lakeview, Lake Co., Oregon, USA",,,,,Abernathyite,1,,,42,19,58,-120,-31,-15,"42.332777777778,-120.52083333333"
1702,1702,4104,"South Dakota, USA",4122,"Tip Top Mine (Tip Top Pegmatite), Fourmile, Custer District, Custer Co., South Dakota, USA",Dahl and Foland (2008),Dahl and Foland (2008),Abernathyite,1,,,43,57,23,-100,-41,-26,"43.956388888889,-100.69055555556"
,,20093,"Harding Co., South Dakota, USA",,,,,Abernathyite,1,,,45,32,39,-103,-36,-54,
,,20088,"Cave Hills, Harding Co., South Dakota, USA",,,,,Abernathyite,1,,,45,47,0,-103,-30,0,
,,121140,"North Cave Hills, Harding Co., South Dakota, USA",,,,,Abernathyite,1,,,45,51,5,-103,-28,-4,
,,121624,"Flat Top Group, North Cave Hills, Harding Co., South Dakota, USA",,,,,Abernathyite,1,,,45,50,30,-103,-20,-45,
,,122065,"Mine Number A, Flat Top Group, North Cave Hills, Harding Co., South Dakota, USA",,,,,Abernathyite,1,,,0,0,0,0,0,0,"0,0"
,,20089,"Slim Buttes, Harding Co., South Dakota, USA",,,,,Abernathyite,1,,,45,22,10,-103,-6,-44,
,,45290,"Hilltop Mine, Slim Buttes, Harding Co., South Dakota, USA",,,,,Abernathyite,1,,,0,0,0,0,0,0,"0,0"
330,13,14378,"Utah, USA",180470,"Blackbird Mine (Pioneer Mine), Big Indian District (Big Indian Wash - Lisbon Valley Area), San Juan Co., Utah, USA",Cox et al. (2003),Morrison and Perry (1988),Abernathyite,1,,,39,39,13,-111,-35,-54,"39.653611111111,-111.59833333333"
180,13,5777,"Emery Co., Utah, USA",37798,"Copper Globe Deposit, San Rafael District (San Rafael Swell), Emery Co., Utah, USA",Cox et al. (2003),Morrison and Perry (1988),Abernathyite,1,,,39,1,1,-110,-47,-17,"39.016944444444,-110.78805555556"
180,13,4146,"San Rafael District (San Rafael Swell), Emery Co., Utah, USA",37798,"Copper Globe Deposit, San Rafael District (San Rafael Swell), Emery Co., Utah, USA",Cox et al. (2003),Morrison and Perry (1988),Abernathyite,1,,,38,47,12,-110,-49,-16,"38.786666666667,-110.82111111111"
13,13,19321,"Temple Mountain, San Rafael District (San Rafael Swell), Emery Co., Utah, USA",19321,"Temple Mountain, San Rafael District (San Rafael Swell), Emery Co., Utah, USA",Morrison and Perry (1988),Morrison and Perry (1988),Abernathyite,1,,,38,40,43,-110,-40,-30,"38.678611111111,-110.675"
,,4145,"Fuemrol No. 2 Mine (Fuemrole Mine), Temple Mountain, San Rafael District (San Rafael Swell), Emery Co., Utah, USA",,,,,Abernathyite,1,,,38,41,0,-110,-40,0,"38.683333333333,-110.66666666667"
