   Max Age (Ma)   ,   Min Age (Ma)   ,   MinDat ID   ,   Locality containing Mineral   ,   Dated Locality ID   ,   Dated Locality (Max Age)   ,   Reference (Max Age)   ,   Reference (Min Age)   ,   Query Minerals at Locality   ,   # of Query Minerals at Locality   ,   # of sublocalities with Query Minerals   ,   # of dated sublocalities   ,   Lat Deg   ,   Lat Min   ,   Lat Sec   ,   Lon Deg   ,   Lon Min   ,   Lon Sec   ,   Decimal Degree   
338,270,14280,France,1673,"Ste Marie-aux-Mines (Markirch), Haut-Rhin, Alsace, France",Hafeznia et al. (2012),Hafeznia et al. (2012),Abernathyite,1,,,46,25,19,3,48,50,"46.421944444444,3.8138888888889"
220,41.2,14615,"Languedoc-Roussillon, France",14617,"Lodève, Hérault, Languedoc-Roussillon, France",Cox et al. (2003),Taylor et al. (2009),Abernathyite,1,,,43,37,58,3,15,10,"43.632777777778,3.2527777777778"
220,103,14616,"Hérault, Languedoc-Roussillon, France",14617,"Lodève, Hérault, Languedoc-Roussillon, France",Cox et al. (2003),Lancelot et al. (1984),Abernathyite,1,,,43,40,27,3,18,43,"43.674166666667,3.3119444444444"
220,103,14617,"Lodève, Hérault, Languedoc-Roussillon, France",14617,"Lodève, Hérault, Languedoc-Roussillon, France",Cox et al. (2003),Lancelot et al. (1984),Abernathyite,1,,,43,41,59,3,17,37,"43.699722222222,3.2936111111111"
179,103,1713,"Riviéral, Lodève, Hérault, Languedoc-Roussillon, France",1715,"Rabejac, Lodève, Hérault, Languedoc-Roussillon, France",Lancelot et al. (1984),Lancelot et al. (1984),Abernathyite,1,,,0,0,0,0,0,0,"0,0"
252,2.6,14244,Germany,23246,"Richelsdorf District, Hesse, Germany",Friedrich and Herzig (1985),Kissin (1993),Abernathyite,1,,,51,16,33,10,13,48,"51.275833333333,10.23"
250,201,1763,"Baden-Württemberg, Germany",13883,"Wittichen, Schenkenzell, Black Forest, Baden-Württemberg, Germany",Staude et al. (2012),Staude et al. (2012),Abernathyite,1,,,48,39,0,8,50,52,"48.65,8.8477777777778"
250,201,4434,"Black Forest, Baden-Württemberg, Germany",13883,"Wittichen, Schenkenzell, Black Forest, Baden-Württemberg, Germany",Staude et al. (2012),Staude et al. (2012),Abernathyite,1,,,48,9,22,8,32,30,"48.156111111111,8.5416666666667"
250,201,33286,"Schenkenzell, Black Forest, Baden-Württemberg, Germany",13883,"Wittichen, Schenkenzell, Black Forest, Baden-Württemberg, Germany",Staude et al. (2012),Staude et al. (2012),Abernathyite,1,,,48,20,6,8,20,14,"48.335,8.3372222222222"
250,201,13883,"Wittichen, Schenkenzell, Black Forest, Baden-Württemberg, Germany",13883,"Wittichen, Schenkenzell, Black Forest, Baden-Württemberg, Germany",Staude et al. (2012),Staude et al. (2012),Abernathyite,1,,,48,20,6,8,20,14,"48.335,8.3372222222222"
250,201,35306,"Böckelsbach Valley, Wittichen, Schenkenzell, Black Forest, Baden-Württemberg, Germany",13883,"Wittichen, Schenkenzell, Black Forest, Baden-Württemberg, Germany",Staude et al. (2012),Staude et al. (2012),Abernathyite,1,,,48,20,0,8,20,0,"48.333333333333,8.3333333333333"
250,201,1784,"Sophia Mine, Böckelsbach Valley, Wittichen, Schenkenzell, Black Forest, Baden-Württemberg, Germany",13883,"Wittichen, Schenkenzell, Black Forest, Baden-Württemberg, Germany",Staude et al. (2012),Staude et al. (2012),Abernathyite,1,,,48,20,0,8,20,0,"48.333333333333,8.3333333333333"
220,132,32315,"Sulzburg, Black Forest, Baden-Württemberg, Germany",32311,"Holderpfad Area, Sulzburg, Black Forest, Baden-Württemberg, Germany",Pfaff et al. (2009),Pfaff et al. (2009),Abernathyite,1,,,47,50,9,7,43,26,"47.835833333333,7.7238888888889"
