Label 1,Label 2,Label 3,   Max Age (Ma)   ,   Min Age (Ma)   ,   MinDat ID   ,   Locality containing Mineral   ,   Dated Locality ID   ,   Dated Locality (Max Age)   ,   Reference (Max Age)   ,   Reference (Min Age)   ,   Query Minerals at Locality   ,   # of Query Minerals at Locality   ,   # of sublocalities with Query Minerals   ,   # of dated sublocalities   ,   Lat Deg   ,   Lat Min   ,   Lat Sec   ,   Lon Deg   ,   Lon Min   ,   Lon Sec   ,   Decimal Degree   
   ,,O,9,7,42,"Capillitas Mine, Andalgalá Department, Catamarca, Argentina",42,"Capillitas Mine, Andalgalá Department, Catamarca, Argentina",Tilton et al. (1981),Tilton et al. (1981),Acanthite,1,,,-27,-20,-28,-66,-23,0,"-27.341111111111,-66.383333333333"
MD ,R,O,9,7,229583,"La Argentina Vein, Capillitas Mine, Andalgalá Department, Catamarca, Argentina",42,"Capillitas Mine, Andalgalá Department, Catamarca, Argentina",Tilton et al. (1981),Tilton et al. (1981),Acanthite,1,,,0,0,0,0,0,0,"0,0"
MD ,R,O,9,7,54,"Ortiz Vein (Ortiz Mine), Capillitas Mine, Andalgalá Department, Catamarca, Argentina",42,"Capillitas Mine, Andalgalá Department, Catamarca, Argentina",Tilton et al. (1981),Tilton et al. (1981),Acanthite,1,,,0,0,0,0,0,0,"0,0"
MD ,R,O,8,8,11134,"Farallón Negro Mine, Agua De Dionisio Mining District (YMAD), Farallón Negro, Belén Department, Catamarca, Argentina",34975,"Bajo De La Alumbrera Mine, Agua De Dionisio Mining District (YMAD), Farallón Negro, Belén Department, Catamarca, Argentina",Sillitoe (1997),Sillitoe (1997),Acanthite,1,,,-27,-16,-28,-66,-39,-40,"-27.274444444444,-66.661111111111"
MD ,R,O,8,8,261036,"Esperanza South-East Vein, Farallón Negro Mine, Agua De Dionisio Mining District (YMAD), Farallón Negro, Belén Department, Catamarca, Argentina",34975,"Bajo De La Alumbrera Mine, Agua De Dionisio Mining District (YMAD), Farallón Negro, Belén Department, Catamarca, Argentina",Sillitoe (1997),Sillitoe (1997),Acanthite,1,,,-27,-16,-28,-66,-39,-40,"-27.274444444444,-66.661111111111"
MD ,,,,,156892,"Navidad Project, Gastre Department, Chubut, Argentina",,,,,Acanthite,1,,,0,0,0,0,0,0,
MD ,,,,,156895,"Calcite Hill, Navidad Project, Gastre Department, Chubut, Argentina",,,,,Acanthite,1,,,0,0,0,0,0,0,"0,0"
MD ,,,,,156893,"Navidad Hill, Navidad Project, Gastre Department, Chubut, Argentina",,,,,Acanthite,1,,,0,0,0,0,0,0,"0,0"
MD ,,O,390,382,23508,"El Guaico District, Minas Department, Córdoba, Argentina",23507,"Rara Fortuna Deposit, El Guaico District, Minas Department, Córdoba, Argentina",Skirrow et al. (2000),Skirrow et al. (2000),Acanthite,1,,,-30,-58,-37,-65,-13,-22,"-30.976944444444,-65.222777777778"
MD ,,,,,22977,"Aguilar Mine, Aguilar District, Humahuaca Department, Jujuy, Argentina",,,,,Acanthite,1,,,-23,-13,-4,-65,-41,-21,"-23.217777777778,-65.689166666667"
MD ,,,,,23339,"Chinchillas Prospect, Rinconada, Rinconada Department, Jujuy, Argentina",,,,,Acanthite,1,,,-22,-30,0,-66,-15,0,"-22.5,-66.25"
MD ,,,,,23442,"La Providencia Mine, Susques Department, Jujuy, Argentina",,,,,Acanthite,1,,,-23,-55,0,-66,-34,0,"-23.916666666667,-66.566666666667"
MD ,,,,,229521,"Cerro Negro District, Chilecito, Chilecito Department, La Rioja, Argentina",,,,,Acanthite,1,,,-29,-4,-1,-67,-42,-36,
MD ,,,,,23408,"Peregrina Mine, Cerro Negro District, Chilecito, Chilecito Department, La Rioja, Argentina",,,,,Acanthite,1,,,-29,-4,-1,-67,-42,-37,"-29.066944444444,-67.710277777778"
MD ,,O,5,3.8,23362,"Nevados De Famatina Cu-Au Deposit (La Estrechura), Chilecito, Chilecito Department, La Rioja, Argentina",23362,"Nevados De Famatina Cu-Au Deposit (La Estrechura), Chilecito, Chilecito Department, La Rioja, Argentina",Singer et al. (2008),Singer et al. (2008),Acanthite,1,,,-29,0,0,-67,-45,0,"-29,-67.75"
MD ,,O,19,8.5,20460,"Paramillos De Uspallata, Uspallata, Las Heras Department, Mendoza, Argentina",206321,"Paramillos Norte Deposit, Paramillos De Uspallata, Uspallata, Las Heras Department, Mendoza, Argentina",Singer et al. (2008),Singer et al. (2008),Acanthite,1,,,-32,-27,-37,-69,-5,-30,"-32.460277777778,-69.091666666667"
MD ,,O,254,251.4,240563,"Don Sixto Project (El Pantanito), Agua Escondida, Malargüe Department, Mendoza, Argentina",240563,"Don Sixto Project (El Pantanito), Agua Escondida, Malargüe Department, Mendoza, Argentina",Mugas Lobos and Márquez_Zavalía,Mugas Lobos and Márquez_Zavalía,Acanthite,1,,,-36,-17,-30,-68,-27,-30,"-36.291666666667,-68.458333333333"
MD ,,,,,229627,"Calcatreu Gold Project, Ingeniero Jacobacci, Veinticinco De Mayo Department, Río Negro, Argentina",,,,,Acanthite,1,,,-41,-38,0,-69,-24,0,"-41.633333333333,-69.4"
MD ,,,,,23405,"El Quevar Mine, El Quevar Mining District, Los Andes Department, Salta, Argentina",,,,,Acanthite,1,,,0,0,0,0,0,0,"0,0"
MD ,,,,,19338,"Armonía Mine, Incahuasi Valley, El Quevar Mining District, Los Andes Department, Salta, Argentina",,,,,Acanthite,1,,,-24,-21,-2,-66,-50,-14,"-24.350555555556,-66.837222222222"
MD ,,,,,23431,"La Concordia Mine, San Antonio De Los Cobres, Los Andes Department, Salta, Argentina",,,,,Acanthite,1,,,-24,-11,-59,-66,-24,-12,"-24.199722222222,-66.403333333333"
MD ,,,,,240956,"La Niquelina Mine, Rodeo De Tuctuca, Santa Victoria Department, Salta, Argentina",,,,,Acanthite,1,,,-22,-22,-36,-65,-13,-42,"-22.376666666667,-65.228333333333"
MD ,,,,,156854,"Veladero Mine, Frontera Mining District, Tudcum, Iglesia Department, San Juan, Argentina",,,,,Acanthite,1,,,0,0,0,0,0,0,
MD ,,,,,23505,"Gualilan-Gualcamayo District (Hualilán Mining District), Villa Mercedes, Jáchal Department, San Juan, Argentina",,,,,Acanthite,1,,,-30,-44,0,-68,-57,0,
MD ,,,,,228196,"Pingüino Deposit (Cerro León), Tres Cerros, Deseado Massif, Deseado Department, Santa Cruz, Argentina",,,,,Acanthite,1,,,-48,-4,0,-68,-42,0,
MD ,,,,,156891,"San José Project, Perito Moreno, Deseado Massif, Lago Buenos Aires Department, Santa Cruz, Argentina",,,,,Acanthite,1,,,-46,-41,0,-70,-17,0,"-46.683333333333,-70.283333333333"
MD ,,,,,23515,"Deseado Massif, Magallanes Department, Santa Cruz, Argentina",,,,,Acanthite,1,,,-48,-45,-17,-69,-36,-27,
MD ,,,,,23554,"Cerro Vanguardia Mine, El Salado, Deseado Massif, Magallanes Department, Santa Cruz, Argentina",,,,,Acanthite,1,,,0,0,0,0,0,0,"0,0"
MD ,,,,,23556,"Manantial Espejo Mine, Deseado Massif, Magallanes Department, Santa Cruz, Argentina",,,,,Acanthite,1,,,-48,-49,0,-69,-31,0,"-48.816666666667,-69.516666666667"
MD ,,,,,34976,"Martha Mine, Deseado Massif, Magallanes Department, Santa Cruz, Argentina",,,,,Acanthite,1,,,-48,-41,-35,-69,-41,-55,"-48.693055555556,-69.698611111111"
MD ,,O,155.5,136,258495,"Akhtala Deposit, Lo_i Province (Lori), Armenia",258495,"Akhtala Deposit, Lo_i Province (Lori), Armenia",Mederer et al. (2014),Mederer et al. (2014),Acanthite,1,,,41,9,17,44,45,54,"41.154722222222,44.765"
MD ,,Y,165,165,9790,"Alaverdi Mine, Lo_i Province (Lori), Armenia",9790,"Alaverdi Mine, Lo_i Province (Lori), Armenia",Moiser et al. (2009),Moiser et al. (2009),Acanthite,1,,,41,6,6,44,39,41,"41.101666666667,44.661388888889"
MD ,,O,165,136,258499,"Shamlugh Deposit, Lo_i Province (Lori), Armenia",258499,"Shamlugh Deposit, Lo_i Province (Lori), Armenia",Mederer et al. (2014),Mederer et al. (2014),Acanthite,1,,,41,9,48,44,43,22,"41.163333333333,44.722777777778"
MD ,,O,144,20,146855,"Kajaran Mine (Kadzharan Mine), Kajaran, Syunik' Province, Armenia",146855,"Kajaran Mine (Kadzharan Mine), Kajaran, Syunik' Province, Armenia",Singer et al. (2008),Singer et al. (2005),Acanthite,1,,,39,8,38,46,8,16,"39.143888888889,46.137777777778"
MD ,,,,,5825,"Mir Mound, Trans-Atlantic Geotraverse Hydrothermal Field (TAG), Mid-Atlantic Ridge Complex, Atlantic Ocean",,,,,Acanthite,1,,,0,0,0,0,0,0,"0,0"
MD ,,,,,266123,"Paddy's River Cu Mine, Cotter River, Brindabella Range, Australian Capital Territory, Australia",,,,,Acanthite,1,,,-35,-20,0,148,56,28,
MD ,,,,,267218,"Addisons Mine (Addisons Reef), Drake District, Buller Co., New South Wales, Australia",,,,,Acanthite,1,,,-28,-49,-57,152,16,57,"-28.8325,152.2825"
