   Max Age (Ma)   ,   Min Age (Ma)   ,   MinDat ID   ,   Locality containing Mineral   ,   Dated Locality ID   ,   Dated Locality (Max Age)   ,   Reference (Max Age)   ,   Reference (Min Age)   ,   Query Minerals at Locality   ,   # of Query Minerals at Locality   ,   # of sublocalities with Query Minerals   ,   # of dated sublocalities   ,   Lat Deg   ,   Lat Min   ,   Lat Sec   ,   Lon Deg   ,   Lon Min   ,   Lon Sec   ,   Decimal Degree   
54,5.3,14188,Greece,205936,"Fakos Cu-Au Deposit, Limnos Island, Lésvos Prefecture (Lesbos; Mytilene; Mytilini), Aegean Islands Department (Aiyaíon), Greece",Singer et al. (2008),Singer et al. (2008),Abswurmbachite,1,,,38,22,3,23,39,29,"38.3675,23.658055555556"
54,51,14524,"Aegean Islands Department (Aiyaíon), Greece",205936,"Fakos Cu-Au Deposit, Limnos Island, Lésvos Prefecture (Lesbos; Mytilene; Mytilini), Aegean Islands Department (Aiyaíon), Greece",Singer et al. (2008),Singer et al. (2008),Abswurmbachite,1,,,38,25,7,25,20,18,"38.418611111111,25.338333333333"
18,11.5,28869,"Kykládes Prefecture, Aegean Islands Department (Aiyaíon), Greece",192071,"Apigania Bay, Tinos Island, Cyclade Islands (Cyclades; Kikladhes; Nomos Kikladhon), Kykládes Prefecture, Aegean Islands Department (Aiyaíon), Greece",Tombros et al. (2008),Tombros et al. (2008),Abswurmbachite,1,,,37,20,55,24,57,21,"37.348611111111,24.955833333333"
18,11.5,14523,"Cyclade Islands (Cyclades; Kikladhes; Nomos Kikladhon), Kykládes Prefecture, Aegean Islands Department (Aiyaíon), Greece",192071,"Apigania Bay, Tinos Island, Cyclade Islands (Cyclades; Kikladhes; Nomos Kikladhon), Kykládes Prefecture, Aegean Islands Department (Aiyaíon), Greece",Tombros et al. (2008),Tombros et al. (2008),Abswurmbachite,1,,,37,20,55,24,57,22,"37.348611111111,24.956111111111"
,,24969,"Andros Island, Cyclade Islands (Cyclades; Kikladhes; Nomos Kikladhon), Kykládes Prefecture, Aegean Islands Department (Aiyaíon), Greece",,,,,Abswurmbachite,1,,,37,54,59,24,49,59,
,,146040,"Vasilikon Mt, Andros Island, Cyclade Islands (Cyclades; Kikladhes; Nomos Kikladhon), Kykládes Prefecture, Aegean Islands Department (Aiyaíon), Greece",,,,,Abswurmbachite,1,,,0,0,0,0,0,0,
,,5493,"Apikia (Apoikia), Vasilikon Mt, Andros Island, Cyclade Islands (Cyclades; Kikladhes; Nomos Kikladhon), Kykládes Prefecture, Aegean Islands Department (Aiyaíon), Greece",,,,,Abswurmbachite,1,,,0,0,0,0,0,0,"0,0"
,,14526,"Sterea Hellas Department, Greece",,,,,Abswurmbachite,1,,,38,49,13,22,40,37,
,,28685,"Évvoia Prefecture, Sterea Hellas Department, Greece",,,,,Abswurmbachite,1,,,0,0,0,0,0,0,
,,1940,"Évvia Island (Euboea; Évvoia), Évvoia Prefecture, Sterea Hellas Department, Greece",,,,,Abswurmbachite,1,,,0,0,0,0,0,0,
,,1930,"Myli (Mili), Évvia Island (Euboea; Évvoia), Évvoia Prefecture, Sterea Hellas Department, Greece",,,,,Abswurmbachite,1,,,0,0,0,0,0,0,"0,0"
360,0,14488,Japan,28720,"Higashiyama Mine, Higashiyama-mura, Oe-gun, Tokushima Prefecture, Shikoku Island, Japan",Moiser et al. (2009),Maeno and Taniguchi (2007),Abswurmbachite,1,,,35,4,47,136,55,46,"35.079722222222,136.92944444444"
360,59,2192,"Shikoku Island, Japan",28720,"Higashiyama Mine, Higashiyama-mura, Oe-gun, Tokushima Prefecture, Shikoku Island, Japan",Moiser et al. (2009),Suzuki et al. (1996),Abswurmbachite,1,,,33,49,21,133,35,14,"33.8225,133.58722222222"
360,170,20264,"Ehime Prefecture, Shikoku Island, Japan",224830,"Hirota Mine, Hirota-mura, Tobe-cho, Iyo-gun, Ehime Prefecture, Shikoku Island, Japan",Moiser et al. (2009),Moiser et al. (2009),Abswurmbachite,1,,,33,44,7,132,57,36,"33.735277777778,132.96"
360,360,204435,"Shikokuchuo City, Ehime Prefecture, Shikoku Island, Japan",56379,"Shingu Mine, Shingu, Shikokuchuo City, Ehime Prefecture, Shikoku Island, Japan",Moiser et al. (2009),Moiser et al. (2009),Abswurmbachite,1,,,33,55,58,133,37,59,"33.932777777778,133.63305555556"
,,53579,"Iyomishima, Shikokuchuo City, Ehime Prefecture, Shikoku Island, Japan",,,,,Abswurmbachite,1,,,0,0,0,0,0,0,
,,9910,"Sanbagawa Belt (Sambagawa Metamorphic Belt), Shikoku Island, Japan",,,,,Abswurmbachite,1,,,0,0,0,0,0,0,"0,0"
