Label 1,Label 2,Label 3,   Max Age (Ma)   ,   Min Age (Ma)   ,   MinDat ID   ,   Locality containing Mineral   ,   Dated Locality ID   ,   Dated Locality (Max Age)   ,   Reference (Max Age)   ,   Reference (Min Age)   ,   Query Minerals at Locality   ,   # of Query Minerals at Locality   ,   # of sublocalities with Query Minerals   ,   # of dated sublocalities   ,   Lat Deg   ,   Lat Min   ,   Lat Sec   ,   Lon Deg   ,   Lon Min   ,   Lon Sec   ,   Decimal Degree   
   ,,Y,1445,1100,3366,USA,3741,"Haynes-Stellite Mine (Cobalt Mine), Blackbird District, Lemhi Co., Idaho, USA",Slack (2006),Begg et al. (2010),Abelsonite,1,,,39,32,36,-93,-41,-12,"39.543333333333,-93.686666666667"
   ,,O,330,13,14378,"Utah, USA",180470,"Blackbird Mine (Pioneer Mine), Big Indian District (Big Indian Wash - Lisbon Valley Area), San Juan Co., Utah, USA",Cox et al. (2003),Morrison and Perry (1988),Abelsonite,1,,,39,39,11,-111,-35,-58,"39.653055555556,-111.59944444444"
   ,,O,56,33.9,4187,"Uintah Co., Utah, USA",20265,"Green River Formation, Uintah Co., Utah, USA",Bradley (1931),Bradley (1931),Abelsonite,1,,,40,22,21,-109,-34,-11,"40.3725,-109.56972222222"
   ,,O,56,33.9,20265,"Green River Formation, Uintah Co., Utah, USA",20265,"Green River Formation, Uintah Co., Utah, USA",Bradley (1931),Bradley (1931),Abelsonite,1,,,0,0,0,0,0,0,"0,0"
MD ,R,O,56,33.9,39263,"ERDA/LERC No. 2 Well, Green River Formation, Uintah Co., Utah, USA",20265,"Green River Formation, Uintah Co., Utah, USA",Bradley (1931),Bradley (1931),Abelsonite,1,,,0,0,0,0,0,0,"0,0"
MD ,R,O,56,33.9,39264,"ERDA/LERC No. 3 Well, Green River Formation, Uintah Co., Utah, USA",20265,"Green River Formation, Uintah Co., Utah, USA",Bradley (1931),Bradley (1931),Abelsonite,1,,,0,0,0,0,0,0,"0,0"
MD ,R,O,56,33.9,39265,"ERDA/LERC No. 4 Well, Green River Formation, Uintah Co., Utah, USA",20265,"Green River Formation, Uintah Co., Utah, USA",Bradley (1931),Bradley (1931),Abelsonite,1,,,0,0,0,0,0,0,"0,0"
MD ,R,O,56,33.9,39266,"ERDA/LERC No. 6 Well, Green River Formation, Uintah Co., Utah, USA",20265,"Green River Formation, Uintah Co., Utah, USA",Bradley (1931),Bradley (1931),Abelsonite,1,,,0,0,0,0,0,0,"0,0"
MD ,R,O,56,33.9,39267,"ERDA/LERC No. 7 Well, Green River Formation, Uintah Co., Utah, USA",20265,"Green River Formation, Uintah Co., Utah, USA",Bradley (1931),Bradley (1931),Abelsonite,1,,,0,0,0,0,0,0,"0,0"
MD ,R,O,56,33.9,39268,"ERDA/LERC No. 8 Well, Green River Formation, Uintah Co., Utah, USA",20265,"Green River Formation, Uintah Co., Utah, USA",Bradley (1931),Bradley (1931),Abelsonite,1,,,0,0,0,0,0,0,"0,0"
MD ,R,O,56,33.9,39269,"ERDA/LERC No. 9 Well, Green River Formation, Uintah Co., Utah, USA",20265,"Green River Formation, Uintah Co., Utah, USA",Bradley (1931),Bradley (1931),Abelsonite,1,,,0,0,0,0,0,0,"0,0"
MD ,R,O,56,33.9,39262,"WOSCO Well, Green River Formation, Uintah Co., Utah, USA",20265,"Green River Formation, Uintah Co., Utah, USA",Bradley (1931),Bradley (1931),Abelsonite,1,,,0,0,0,0,0,0,"0,0"
