Label 1,Label 2,Label 3,   Max Age (Ma)   ,   Min Age (Ma)   ,   MinDat ID   ,   Locality containing Mineral   ,   Dated Locality ID   ,   Dated Locality (Max Age)   ,   Reference (Max Age)   ,   Reference (Min Age)   ,   Query Minerals at Locality   ,   # of Query Minerals at Locality   ,   # of sublocalities with Query Minerals   ,   # of dated sublocalities   ,   Lat Deg   ,   Lat Min   ,   Lat Sec   ,   Lon Deg   ,   Lon Min   ,   Lon Sec   ,   Decimal Degree   
   ,,O,470,2.6,14398,Argentina,21392,"Santa Elena Mine, Quebrada Alcaparrosa, Calingasta, Calingasta Department, San Juan, Argentina",Moiser et al. (2009),Paar et al. (2002; 2005); de Brodtkorb (2009),Achalaite,1,,,-33,-35,-47,-65,-19,-32,"-33.596388888889,-65.325555555556"
   ,,O,390,382,18492,"Córdoba, Argentina",23507,"Rara Fortuna Deposit, El Guaico District, Minas Department, Córdoba, Argentina",Skirrow et al. (2000),Skirrow et al. (2000),Achalaite,1,,,-31,-20,-47,-64,-36,-8,"-31.346388888889,-64.602222222222"
   ,,,,,239650,"Pocho Department, Córdoba, Argentina",,,,,Achalaite,1,,,-31,-25,-22,-64,-55,-4,
   ,,,,,0,"San Gerónimo, Pocho Department, Córdoba, Argentina",,,,,Achalaite,1,,,-31,-25,-22,-64,-55,-4,
   ,,,,,259717,"Cañada Del Puerto, San Gerónimo, Pocho Department, Córdoba, Argentina",,,,,Achalaite,1,,,-31,-25,-22,-64,-55,-4,
MD ,,,,,259718,"Cerro Los Mogotes, Cañada Del Puerto, San Gerónimo, Pocho Department, Córdoba, Argentina",,,,,Achalaite,1,,,-31,-25,-22,-64,-55,-5,"-31.422777777778,-64.918055555556"
