Label 1,Label 2,Label 3,   Max Age (Ma)   ,   Min Age (Ma)   ,   MinDat ID   ,   Locality containing Mineral   ,   Dated Locality ID   ,   Dated Locality (Max Age)   ,   Reference (Max Age)   ,   Reference (Min Age)   ,   Query Minerals at Locality   ,   # of Query Minerals at Locality   ,   # of sublocalities with Query Minerals   ,   # of dated sublocalities   ,   Lat Deg   ,   Lat Min   ,   Lat Sec   ,   Lon Deg   ,   Lon Min   ,   Lon Sec   ,   Decimal Degree   
   ,,Y,3200,120,8188,Canada,243388,"Hyers Island Deposit, Gods Lake District, Manitoba, Canada",Moiser et al. (2009),Moiser et al. (2009),Abenakiite-(Ce),1,,,53,23,54,-90,-4,-22,"53.398333333333,-90.072777777778"
   ,,Y,2800,470,14009,"Québec, Canada",244915,"Inmont, Rouyn-Noranda TE, Abitibi-Témiscamingue, Québec, Canada",Moiser et al. (2009),Moiser et al. (2009),Abenakiite-(Ce),1,,,47,18,54,-72,-8,-54,"47.315,-72.148333333333"
   ,,Y,470,470,235914,"Montérégie, Québec, Canada",194561,"Upton Deposit Robex, Acton RCM, Montérégie, Québec, Canada",Moiser et al. (2009),Moiser et al. (2009),Abenakiite-(Ce),1,,,45,25,38,-73,-18,-58,"45.427222222222,-73.316111111111"
   ,,O,124,124,250494,"La Vallée-du-Richelieu RCM, Montérégie, Québec, Canada",123123,"Mont Saint-Hilaire, La Vallée-du-Richelieu RCM, Montérégie, Québec, Canada",Gilbert and Foland (1986),Gilbert and Foland (1986),Abenakiite-(Ce),1,,,45,33,44,-73,-8,-30,"45.562222222222,-73.141666666667"
   ,,O,124,124,123123,"Mont Saint-Hilaire, La Vallée-du-Richelieu RCM, Montérégie, Québec, Canada",123123,"Mont Saint-Hilaire, La Vallée-du-Richelieu RCM, Montérégie, Québec, Canada",Gilbert and Foland (1986),Gilbert and Foland (1986),Abenakiite-(Ce),1,,,45,33,45,-73,-8,-30,"45.5625,-73.141666666667"
MD ,R,O,124,124,599,"Poudrette Quarry (Demix Quarry; Uni-Mix Quarry; Desourdy Quarry; Carrière Mont Saint-Hilaire), Mont Saint-Hilaire, La Vallée-du-Richelieu RCM, Montérégie, Québec, Canada",123123,"Mont Saint-Hilaire, La Vallée-du-Richelieu RCM, Montérégie, Québec, Canada",Gilbert and Foland (1986),Gilbert and Foland (1986),Abenakiite-(Ce),1,,,45,33,46,-73,-8,-30,"45.562777777778,-73.141666666667"
