Label 1,Label 2,Label 3,   Max Age (Ma)   ,   Min Age (Ma)   ,   MinDat ID   ,   Locality containing Mineral   ,   Dated Locality ID   ,   Dated Locality (Max Age)   ,   Reference (Max Age)   ,   Reference (Min Age)   ,   Query Minerals at Locality   ,   # of Query Minerals at Locality   ,   # of sublocalities with Query Minerals   ,   # of dated sublocalities   ,   Lat Deg   ,   Lat Min   ,   Lat Sec   ,   Lon Deg   ,   Lon Min   ,   Lon Sec   ,   Decimal Degree   
   ,,Y,338,270,14280,France,1673,"Ste Marie-aux-Mines (Markirch), Haut-Rhin, Alsace, France",Hafeznia et al. (2012),Hafeznia et al. (2012),Abernathyite,1,,,46,26,15,3,48,49,"46.4375,3.8136111111111"
   ,,O,220,41.2,14615,"Languedoc-Roussillon, France",14617,"Lodève, Hérault, Languedoc-Roussillon, France",Cox et al. (2003),Taylor et al. (2009),Abernathyite,1,,,43,37,58,3,15,10,"43.632777777778,3.2527777777778"
   ,,O,220,103,14616,"Hérault, Languedoc-Roussillon, France",14617,"Lodève, Hérault, Languedoc-Roussillon, France",Cox et al. (2003),Lancelot et al. (1984),Abernathyite,1,,,43,40,27,3,18,43,"43.674166666667,3.3119444444444"
   ,,O,220,103,14617,"Lodève, Hérault, Languedoc-Roussillon, France",14617,"Lodève, Hérault, Languedoc-Roussillon, France",Cox et al. (2003),Lancelot et al. (1984),Abernathyite,1,,,43,41,59,3,17,37,"43.699722222222,3.2936111111111"
MD ,R,O,179,103,1713,"Riviéral, Lodève, Hérault, Languedoc-Roussillon, France",1715,"Rabejac, Lodève, Hérault, Languedoc-Roussillon, France",Lancelot et al. (1984),Lancelot et al. (1984),Abernathyite,1,,,0,0,0,0,0,0,"0,0"
   ,,Y,252,2.6,14244,Germany,23246,"Richelsdorf District, Hesse, Germany",Friedrich and Herzig (1985),Kissin (1993),Abernathyite,1,,,51,26,57,10,23,11,"51.449166666667,10.386388888889"
   ,,Y,250,201,1763,"Baden-Württemberg, Germany",13883,"Wittichen, Schenkenzell, Black Forest, Baden-Württemberg, Germany",Staude et al. (2012),Staude et al. (2012),Abernathyite,1,,,48,42,58,8,57,23,"48.716111111111,8.9563888888889"
   ,,Y,250,201,4434,"Black Forest, Baden-Württemberg, Germany",13883,"Wittichen, Schenkenzell, Black Forest, Baden-Württemberg, Germany",Staude et al. (2012),Staude et al. (2012),Abernathyite,1,,,48,6,1,8,10,49,"48.100277777778,8.1802777777778"
   ,,Y,250,201,33286,"Schenkenzell, Black Forest, Baden-Württemberg, Germany",13883,"Wittichen, Schenkenzell, Black Forest, Baden-Württemberg, Germany",Staude et al. (2012),Staude et al. (2012),Abernathyite,1,,,48,20,0,8,20,15,"48.333333333333,8.3375"
   ,,Y,250,201,13883,"Wittichen, Schenkenzell, Black Forest, Baden-Württemberg, Germany",13883,"Wittichen, Schenkenzell, Black Forest, Baden-Württemberg, Germany",Staude et al. (2012),Staude et al. (2012),Abernathyite,1,,,48,20,0,8,20,15,"48.333333333333,8.3375"
   ,R,Y,250,201,35306,"Böckelsbach Valley, Wittichen, Schenkenzell, Black Forest, Baden-Württemberg, Germany",13883,"Wittichen, Schenkenzell, Black Forest, Baden-Württemberg, Germany",Staude et al. (2012),Staude et al. (2012),Abernathyite,1,,,48,20,0,8,20,0,"48.333333333333,8.3333333333333"
